#item+conceptum+codicem,#item+rem+i_fr+i_fra+is_latn,#item+rem+i_en+i_eng+is_latn
CMU_1:1,depuis combien ressentez-vous ces symptômes ?,about how long have these symptoms been going on?
PubMed_10:901,Surveiller le fardeau de l’activité présumée du COVID-19 au sein de la communauté par le biais de la surveillance en soins primaires et du codage clinique des cas potentiels de COVID-19 orientés vers le parcours de confinement,To monitor the burden of suspected COVID-19 activity in the community through primary care surveillance and clinical coding of possible COVID-19 cases referred into the containment pathway
PubMed_10:902,Fournir une preuve virologique de la présence et l’étendue de la transmission communautaire non détectée du COVID-19 et surveiller les taux de positivité parmi les individus présentant un SG ou des infections aigües des voies respiratoires en soins primaires,To provide virological evidence on the presence and extent of undetected community transmission of COVID-19 and monitor positivity rates among individuals presenting ILI or acute respiratory tract infections to primary care
PubMed_10:903,Déterminer la sensibilité de référence au COVID-19 dans la communauté et mesurer les taux d’exposition symptomatique et asymptomatique dans la population via la surveillance de la séroprévalence,To estimate baseline susceptibility to COVID-19 in the community and estimate both symptomatic and asymptomatic exposure rates in the population through seroprevalence monitoring
PubMed_10:904,Tester la mise en œuvre d’un système de collecte de sérums de patients convalescents avec des profils d’anticorps parmi les cas rétablis de COVID-19 renvoyés dans la communauté,To pilot implementation of a scheme for collection of convalescent sera with antibody profiles among recovered cases of COVID-19 discharged to the community
PubMed_10:905,Nous avons l’intention d’enregistrer ce qui suit.,We intend to capture the following.
PubMed_10:906,"La charge de travail clinique liée aux rapports de COVID-19 à l’aide des codes créés pour signaler les cas, les cas testés et l’emplacement de l’infection sont exclus (Figures 2--44)","Clinical workload related to reports of COVID-19 using the codes created to flag cases, those being assessed and where the infection is located are excluded (Figures 2-​-44)"
PubMed_10:907,Pays étrangers visités au cours des 28 derniers jours,Foreign countries visited in the last 28 days
PubMed_10:908,Codes existants pouvant être utiles (Tableaux 1--3).3).,Existing codes that may have utility (Tables 1-​-3).3).
PubMed_10:909,De nombreux MG et équipes de soins primaires ne se rendent pas toujours compte que d’importantes données pertinentes peuvent être codées.,Many GPs and primary care teams may not realize that important relevant data can be coded.
PubMed_10:910,"Il existe également la possibilité, lors de toute pandémie, de mesurer l’efficacité des mesures de contrôle de la transmission.",There is also the potential during any pandemic to monitor the effectiveness of any transmission control measures.
PubMed_10:911,Un codage fiable de lettres et résultats d’analyse qui montrera si une infection est confirmée ou exclue,Reliable coding of letters and test results that will show an infection has become either confirmed or excluded
PubMed_10:912,"Les méthodes suivront l’approche employée dans le système de surveillance actuel de la grippe et l’étude sérologique récente, et comprenant cinq éléments : (1) surveillance clinique de soins primaires ; (2) surveillance virologique ; (3) surveillance sérologique de la population ; (4) sérums de patients convalescents dans certains cas ; et (5) curation des données.","The methods will follow the approach used in the current influenza surveillance system and recent serology study, and includes five components: (1) primary care clinical surveillance; (2) virological surveillance; (3) population serological surveillance; (4) convalescent sera in cases; and (5) data curation."
PubMed_10:913,"Le NHS utilise le système de codage de la nomenclature systématisée des termes cliniques en médecine (Systematized Nomenclature of Medicine Clinical Terms, SNOMED CT), qui n’est normalement mise à jour que deux fois par an.","The NHS uses the Systematized Nomenclature of Medicine Clinical Terms (SNOMED CT) system of coding, which is normally only updated twice annually."
PubMed_10:914,"Il y avait une complexité accrue car certains fournisseurs de dossiers médicaux informatisés (DMI) utilisent les systèmes de codage Read (version 3 des termes cliniques Read – CTv3), qui ne sont plus mis à jour.","There was added complexity as some computerized medical record (CMR) suppliers use the Read coding systems (Read clinical terms version 3 – CTv3), which is no longer updated."
PubMed_10:915,"En outre, il n’existait aucun code clinique pour enregistrer le COVID-19 au début du mois de février 2020.","Additionally, there were no clinical codes to record COVID-19 in early February 2020."
PubMed_10:916,"Par conséquent, les deux principaux fournisseurs de systèmes de MG ont ajouté cinq termes présentés dans le Tableau 4 en tant que codes locaux du système.","Therefore, the two main GP system suppliers added the five terms shown in Table 4 as system-wide local codes."
PubMed_10:917,Une version d’urgence des concepts de la SNOMED CT pour le COVID-19 a ensuite été publiée au Royaume-Uni dans tous les systèmes de DMI (Tableau 4).,A UK emergency release of SNOMED CT concepts for COVID-19 was also subsequently made available across all CMR systems (Table 4).
PubMed_10:918,"L’objectif est qu’ils soient intégrés aux nouveaux concepts de la SNOMED CT à mesure qu’ils deviennent disponibles, permettant ainsi l’enregistrement des données pertinentes (Annexe multimédia 1).","The intention is that these will eventually be mapped to the new SNOMED CT concepts as they become available, allowing recording of relevant data (Multimedia Appendix 1)."
PubMed_10:919,"Les conditions essentielles pour cette version étaient la possibilité de coder (Tableau 4) un cas de COVID-19, l’exposition au risque d’infection (se rendre dans une zone où le risque peut être plus élevé), le contact avec toute personne infectée par le COVID-19, un rapport qu’une personne a été testée pour le COVID-19, et que la maladie a été exclue (probablement un test négatif).","The key requirements for this release were the ability to code (Table 4) a case of COVID-19, exposure to risk of infection (travel to an area where there may be a higher risk), contact with anyone infected with COVID-19, a report that a person had been tested for COVID-19, and that the disease had been excluded (likely a negative test)."
